"","ntree","mtry","nodesize","maxnodes","RMSE","MAE","R2"
"111",300,50,20,5,0.290757157084233,0.151735962718171,0.0687651138656182
"112",400,50,20,5,0.290690219270602,0.150795421139956,0.0741208974572906
"113",500,50,20,5,0.290247984703155,0.15161605156344,0.0759310682257488
"114",600,50,20,5,0.290024711333177,0.150026209844479,0.0766196039963657
"115",700,50,20,5,0.290371428192703,0.150966613032627,0.0779221587108485
"116",300,60,20,5,0.292938168397957,0.153296863597003,0.0556896643542934
"117",400,60,20,5,0.292054949710404,0.152253273123223,0.0627518715453852
"118",500,60,20,5,0.290925831322821,0.151605555910575,0.0710945134551168
"119",600,60,20,5,0.290353409937137,0.151174586587793,0.0760578496064381
"120",700,60,20,5,0.292052843738699,0.152464552458998,0.0638889456576502
"121",300,10,5,10,0.28659916185875,0.147725274971324,0.0917000310423144
"122",400,10,5,10,0.286050989704728,0.147797271862296,0.0969564082070289
"123",500,10,5,10,0.286177854594452,0.147075668427794,0.0970899613197052
"124",600,10,5,10,0.286174540326073,0.147881548576951,0.0922670349770415
"125",700,10,5,10,0.285551763658857,0.146799910602293,0.101659375102498
"126",300,20,5,10,0.287493753444639,0.148840863939117,0.0838607492646329
"127",400,20,5,10,0.285557827257388,0.146659312031591,0.094269345949444
"128",500,20,5,10,0.285749619662754,0.147673829032874,0.0999593923431909
"129",600,20,5,10,0.286210073993228,0.147538375243697,0.0965695981217454
"130",700,20,5,10,0.282172693631471,0.14644947026443,0.125613861615087
"131",300,30,5,10,0.285544982362864,0.147485255107659,0.0950420843449493
"132",400,30,5,10,0.283966748152559,0.147528682255003,0.100964021476155
"133",500,30,5,10,0.285297877054898,0.147755864218182,0.104132986512012
"134",600,30,5,10,0.28297661526637,0.147264722582765,0.116993808025654
"135",700,30,5,10,0.284069899679429,0.147388218559781,0.106745027328731
"136",300,40,5,10,0.285179856590841,0.147516068741843,0.0996891562457793
"137",400,40,5,10,0.283498539768489,0.146788231453708,0.111467589949017
"138",500,40,5,10,0.286733443661828,0.148179025928169,0.088691756888864
"139",600,40,5,10,0.283603598650218,0.14590387672144,0.109820532143048
"140",700,40,5,10,0.285429227712708,0.147443730847241,0.0987246006105954
"141",300,50,5,10,0.287306679704804,0.148229361650471,0.0804177191738588
"142",400,50,5,10,0.286847528201386,0.148220676724378,0.0898929272256783
"143",500,50,5,10,0.285332689737437,0.14718611571379,0.0941529724009065
"144",600,50,5,10,0.285887303471432,0.147115462207013,0.0981061596418521
"145",700,50,5,10,0.286962303168372,0.148559671838712,0.0871925094144144
"146",300,60,5,10,0.285791492988641,0.147218307952306,0.094421569824197
"147",400,60,5,10,0.285884718330464,0.147823721970305,0.092618951055482
"148",500,60,5,10,0.289422552248088,0.149998380976612,0.0745741975844959
"149",600,60,5,10,0.287649666927906,0.149038741662558,0.0844887144987283
"150",700,60,5,10,0.28679573010294,0.148197758697903,0.0871231026908865
"151",300,10,10,10,0.285727089709119,0.148784766272032,0.0981837937366809
"152",400,10,10,10,0.285082442984606,0.14793625029285,0.102925057254486
"153",500,10,10,10,0.288089668508435,0.149279138811406,0.0872222951234673
